Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P262 Talara Municipalidad - PVH,202512,INVENTARIOS,4493591,5817674,1.2873319892473118,5210962.995599855,6096014,1.1164296512779794,2.0,3.0,535471.8174936703
P134 Centro Civico - PVH,202509,RECEPCIÓN,4484445,4752266,1.0597222222222225,3207609.0125921094,4983333,1.4815603059300648,2.0,1.0,495069.80131061585
P089 Risso - PVH,202506,RECEPCIÓN,4483365,4249639,0.9478680555555556,2613791.275174087,4697127,1.6258523587415985,1.0,1.0,610344.1682723656
P724 Tumbes - PVH,202505,RECEPCIÓN,4480777,6931954,1.3617540322580646,2928687.565311914,6011564,2.3669149833883782,2.0,2.0,491158.52360718354
P089 Risso - PVH,202511,RECEPCIÓN,4475013,4447292,0.9938055555555555,2859061.8220428964,4649319,1.555507570949361,1.0,1.0,619971.1568885038
P114 Pro - PVH,202509,RECEPCIÓN,4467752,7263665,1.6257986111111113,2947568.487753796,8207304,2.4642906246888594,3.0,2.0,546076.6013284068
P143 Nvo Chimbote - PVH,202505,RECEPCIÓN,4441309,4621822,1.0365456989247313,1795811.8511332008,4979171,2.573667133939182,3.0,2.0,478500.79404556594
P089 Risso - PVH,202507,RECEPCIÓN,4427913,4351436,0.9827284946236562,3685571.394891513,5021707,1.1806679328017977,1.0,1.0,609241.4469260752
P201 Huaral - PVH,202503,RECEPCIÓN,4414840,4272545,0.9677688172043012,2099733.705373093,4149877,2.0348030843467497,2.0,1.0,541337.9835004583
P177 Talara - PVH,202512,INVENTARIOS,4413727,3747971,0.843104838709677,4312676.707447306,4542069,0.8690591769904409,2.0,2.0,631271.4333540584
P221 Barranca - PVH,202508,RECEPCIÓN,4386522,2424261,0.5526612903225806,2317012.4543209877,2294199,1.0462873453610513,1.0,1.0,575635.2861520501
P147 Juliaca - PVH,202503,INVENTARIOS,4386315,9399948,1.8962096774193549,4493325.457207035,7303028,2.0919802514912478,2.0,2.0,406839.5015523328
